# equipment,fully equipped gym,# fitness_goal,strength,# workout_type,split,# gender,both,# training_level,intermediate,# days_per_week,4
filename,title,url
workouts__4-5-day-workout-for-building-muscle-and-strength__ec8750d8ab.html,4-5 Day Workout for Building Muscle & Strength,https://www.muscleandstrength.com/workouts/4-5-day-workout-for-building-muscle-and-strength
workouts__dup-muscle-growth-workout__b2460a20d4.html,Daily Undulating Periodization (DUP) Muscle Growth Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/dup-muscle-growth-workout
workouts__maximum-strength-workout.html__f72eba077a.html,Doug's 4 Day Split Maximum Strength Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/maximum-strength-workout.html
workouts__modified-westside-barbell-strength-workout.html__14fb752852.html,EKnight's Modified Westside Barbell Strength Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/modified-westside-barbell-strength-workout.html
workouts__nick-wright-bodybuilding-workout-split__25b9a906d6.html,Nick Wright NWB Power Training Workout Split | Muscle & Strength,https://www.muscleandstrength.com/workouts/nick-wright-bodybuilding-workout-split
workouts__powerlifting-workout.html__485a3dc2a0.html,100% Powerlifting Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/powerlifting-workout.html
