# equipment,fully equipped gym,# fitness_goal,fat loss,# workout_type,split,# gender,both,# training_level,advanced,# days_per_week,6
filename,title,url
workouts__26-doug--s-6-day-cutting-routine.html__08a7d7e956.html,Doug's 6 Day Cutting Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/26-doug--s-6-day-cutting-routine.html
workouts__advanced-fat-loss-workout__7f9a73cd01.html,10 Weeks to Shredded: Maximize Your Fat Loss with this Workout,https://www.muscleandstrength.com/workouts/advanced-fat-loss-workout
