# equipment,fully equipped gym,# fitness_goal,muscle building,# workout_type,full body,# gender,both,# training_level,beginner,# days_per_week,3
filename,title,url
workouts__12-week-beginners-training-routine.html__60253f8d82.html,12 Week Full Body Workout Routine for Beginners | Muscle & Strength,https://www.muscleandstrength.com/workouts/12-week-beginners-training-routine.html
workouts__3-day-workout-routine-and-diet-for-beginners__1b4c09609d.html,3 Day Workout Routine and Diet for Beginners,https://www.muscleandstrength.com/workouts/3-day-workout-routine-and-diet-for-beginners
workouts__3-introduction-to-bodybuilding-workout.html__e5e8f7e9cb.html,Introduction To Bodybuilding Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-introduction-to-bodybuilding-workout.html
workouts__8-week-beginner-workout-for-women__e6d10d47e9.html,8 Week Beginner Workout for Women,https://www.muscleandstrength.com/workouts/8-week-beginner-workout-for-women
workouts__beginner-fullbody-workout.html__52ed3674a9.html,Beginner Full-Body Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/beginner-fullbody-workout.html
workouts__full-body-workout-program-for-tall-guys__bb3df565bc.html,Full Body Workout Program for Tall Guys,https://www.muscleandstrength.com/workouts/full-body-workout-program-for-tall-guys
workouts__gain-mass-fast-20-week-program__f421b95a48.html,How To Gain Mass Fast: 20 Week Quick Start Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/gain-mass-fast-20-week-program
workouts__hit-workout-high-intensity-training-routine__f2b9b6d34f.html,HIT Workout - Build Muscle With This High Intensity Training Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/hit-workout-high-intensity-training-routine
workouts__starting-strong-8-week-workout-for-beginners__60c2a965d3.html,Starting Strong: The Ultimate 8 Week Workout for Beginners,https://www.muscleandstrength.com/workouts/starting-strong-8-week-workout-for-beginners
