# equipment,fully equipped gym,# fitness_goal,strength,# workout_type,split,# gender,both,# training_level,beginner,# days_per_week,4
filename,title,url
workouts__conjugate-system-beginner-powerlifting-workout-phase-1__795eece779.html,The Conjugate System: Phase 1 of the Beginner Powerlifting Workout,https://www.muscleandstrength.com/workouts/conjugate-system-beginner-powerlifting-workout-phase-1
workouts__matt-kroc-16-week-strength-program-diet__d37404f6fc.html,Matt Kroc's 16 Week Strength Program & Lean Gain Diet Plan | Muscle & Strength,https://www.muscleandstrength.com/workouts/matt-kroc-16-week-strength-program-diet
workouts__power-physique-8-week-program__c4ab697c60.html,8 Week Power Physique Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/power-physique-8-week-program
workouts__the-complete-squat-program__d06cda630d.html,The Complete Squat Program: Build Strength & Muscle in 8 Weeks | Muscle & Strength,https://www.muscleandstrength.com/workouts/the-complete-squat-program
