# equipment,fully equipped gym,# fitness_goal,muscle building,# workout_type,split,# gender,men,# training_level,intermediate,# days_per_week,5
filename,title,url
workouts__12-week-off-season-classic-bodybuilding-workout__c305effa26.html,12 Week Off-Season Classic Physique Bodybuilding Workout,https://www.muscleandstrength.com/workouts/12-week-off-season-classic-bodybuilding-workout
workouts__5-day-muscle-and-strength-building-workout-split__bd8069d54d.html,5 Day Muscle & Strength Building Workout Split,https://www.muscleandstrength.com/workouts/5-day-muscle-and-strength-building-workout-split
workouts__power-muscle-burn-5-day-powerbuilding-split.html__dc3563a9cf.html,Power Muscle Burn 5 Day Powerbuilding Split | Muscle & Strength,https://www.muscleandstrength.com/workouts/power-muscle-burn-5-day-powerbuilding-split.html
