# equipment,fully equipped gym,# fitness_goal,muscle building,# workout_type,full body,# gender,women,# training_level,beginner,# days_per_week,3
filename,title,url
workouts__3-day-full-body-workout-for-tall-girls__5e3e211413.html,3 Day Full Body Workout for Tall Women,https://www.muscleandstrength.com/workouts/3-day-full-body-workout-for-tall-girls
workouts__4-week-beginner-workout-for-women__2dc4c2c724.html,Workout Routine for Women: 4 Week Beginner Plan,https://www.muscleandstrength.com/workouts/4-week-beginner-workout-for-women
workouts__8-week-full-body-womens-workout-routine__191d496b79.html,8 Week Full Body Workout Routine for Women,https://www.muscleandstrength.com/workouts/8-week-full-body-womens-workout-routine
workouts__full-body-smith-machine-workout__2d3fc9cd22.html,3 Day Smith Machine Only Workout for Women | Muscle & Strength,https://www.muscleandstrength.com/workouts/full-body-smith-machine-workout
