# equipment,home / small gym,# fitness_goal,fat loss,# workout_type,split,# gender,both,# training_level,beginner,# days_per_week,3
filename,title,url
workouts__3-day-kettlebell-bodyweight__28f26715f8.html,3 Day Kettlebell and Bodyweight Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-kettlebell-bodyweight
workouts__dumbbell-bodyweight-hitt-workout-calorie-burner__94198ce228.html,Dumbbell & Bodyweight HIIT Workout: A Real Calorie Burner | Muscle & Strength,https://www.muscleandstrength.com/workouts/dumbbell-bodyweight-hitt-workout-calorie-burner
