# equipment,fully equipped gym,# fitness_goal,muscle building,# workout_type,split,# gender,both,# training_level,advanced,# days_per_week,6
filename,title,url
workouts__built-different-ppl-workout__8819687a2a.html,Built Different Program: 6 Day PPL Workout Routine,https://www.muscleandstrength.com/workouts/built-different-ppl-workout
workouts__finishing-strong-ultimate-8-week-workout-for-advanced-lifters__f6eeafa84f.html,The Ultimate 8 Week Workout for Advanced Lifters,https://www.muscleandstrength.com/workouts/finishing-strong-ultimate-8-week-workout-for-advanced-lifters
workouts__muscle-mania-10-week-muscle-growth-workout__9994f474cd.html,Muscle Mania: 10 Week Workout for Lean Gainz,https://www.muscleandstrength.com/workouts/muscle-mania-10-week-muscle-growth-workout
workouts__no-juice-bodybuilding-workout-routine__31d0964b87.html,“No Juice” Advanced Bodybuilding Workout Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/no-juice-bodybuilding-workout-routine
