# equipment,home / small gym,# fitness_goal,muscle building,# workout_type,split,# gender,both,# training_level,intermediate,# days_per_week,3
filename,title,url
workouts__8-week-hit3-home-workout__4c52b711ba.html,HIT3 Training at Home: 8 Week Muscle-Building Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-hit3-home-workout
workouts__dumbbell-barbell-home-workout.html__44491ca47f.html,3 Day Dumbbell & Barbell Home Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/dumbbell-barbell-home-workout.html
