# equipment,home / small gym,# fitness_goal,muscle building,# workout_type,split,# gender,both,# training_level,beginner,# days_per_week,1
filename,title,url
workouts__5-biceps-workout-routines-beginner-advanced__bcce28a1b3.html,5 Effective Biceps Workout Routines: Beginner To Advanced | Muscle & Strength,https://www.muscleandstrength.com/workouts/5-biceps-workout-routines-beginner-advanced
workouts__low-rep-arm-shoulder-workout__7488f42459.html,Low Rep Arm And Shoulder Workout By MusclePharm | Muscle & Strength,https://www.muscleandstrength.com/workouts/low-rep-arm-shoulder-workout
