# equipment,home / small gym,# fitness_goal,general fitness,# workout_type,full body,# gender,women,# training_level,beginner,# days_per_week,1
filename,title,url
workouts__dumbbell-bodyweight-circuit-workout-women__75c00d28f1.html,Dumbbell And Bodyweight Circuit Workout For Women | Muscle & Strength,https://www.muscleandstrength.com/workouts/dumbbell-bodyweight-circuit-workout-women
workouts__fullbody-dumbbell-strength-workout-women__c5855a6a1f.html,Full Body Dumbbell Strength Workout For Women | Muscle & Strength,https://www.muscleandstrength.com/workouts/fullbody-dumbbell-strength-workout-women
