# equipment,home / small gym,# fitness_goal,general fitness,# workout_type,full body,# gender,both,# training_level,beginner,# days_per_week,3
filename,title,url
workouts__4-week-complete-kettlebell-ab-workout__6be87dfe65.html,4 Week Complete Kettlebell Ab & Core Workout,https://www.muscleandstrength.com/workouts/4-week-complete-kettlebell-ab-workout
workouts__9-week-progressive-bodyweight-workout__d345ad8c28.html,9 Week Bodyweight Workout For Strength & Muscle Gains | Muscle & Strength,https://www.muscleandstrength.com/workouts/9-week-progressive-bodyweight-workout
workouts__fight-to-be-fit-workout__0bd6d1f535.html,Fight to be Fit Training Program,https://www.muscleandstrength.com/workouts/fight-to-be-fit-workout
workouts__full-body-kettlebell-circuit-workout__9426a51456.html,Full Body Kettlebell at Home (or Anywhere) Circuit Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/full-body-kettlebell-circuit-workout
workouts__power-training-workout-for-increased-athletic-performance__75f8d16ba1.html,Power Training Workout for Increased Athletic Performance,https://www.muscleandstrength.com/workouts/power-training-workout-for-increased-athletic-performance
workouts__swole-factory-athletic-muscle-workout__2ed761773f.html,Swole Factory: 6 Week Athletic Lean Muscle Workout,https://www.muscleandstrength.com/workouts/swole-factory-athletic-muscle-workout
