# equipment,fully equipped gym,# fitness_goal,muscle building,# workout_type,split,# gender,men,# training_level,intermediate,# days_per_week,3
filename,title,url
workouts__bulldozer-training-3-day-workout-split__508d9f6a25.html,Bulldozer Training 3 Day Workout Split | Muscle & Strength,https://www.muscleandstrength.com/workouts/bulldozer-training-3-day-workout-split
workouts__huge-in-a-hurry-workout-program__7493bace6d.html,Huge in a Hurry Workout Program,https://www.muscleandstrength.com/workouts/huge-in-a-hurry-workout-program
