# equipment,fully equipped gym,# fitness_goal,muscle building,# workout_type,single muscle group,# gender,both,# training_level,intermediate,# days_per_week,5
filename,title,url
workouts__phd-4-rj-perkins-power-hyper-deload-training.html__c73f8bb2fd.html,PHD 4 - RJ Perkin's Power Hyper Deload Training | Muscle & Strength,https://www.muscleandstrength.com/workouts/phd-4-rj-perkins-power-hyper-deload-training.html
workouts__project-wheels-hybrid-program-for-leg-size-strength__768b9ee2ab.html,Project WHEELS: The Ultimate Hybrid Program for Leg Size and Strength | Muscle & Strength,https://www.muscleandstrength.com/workouts/project-wheels-hybrid-program-for-leg-size-strength
