# equipment,home / small gym,# fitness_goal,general fitness,# workout_type,split,# gender,both,# training_level,beginner,# days_per_week,3
filename,title,url
workouts__3-ab-workouts-build-8-pack__a3710dcc36.html,8 Pack Abs Workout: How To Get The Ultimate 8 Pack,https://www.muscleandstrength.com/workouts/3-ab-workouts-build-8-pack
workouts__conditioning-comeback-8-week-conditioning-workout__eb3f65ea63.html,The Conditioning Comeback: 8 Week Total Body Fitness Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/conditioning-comeback-8-week-conditioning-workout
