# equipment,body weight,# fitness_goal,general fitness,# workout_type,full body,# gender,both,# training_level,beginner,# days_per_week,3
filename,title,url
workouts__build-muscle-bodyweight-workout-routine-circuit__f7affd987a.html,Build Muscle With This Bodyweight Workout Routine Circuit | Muscle & Strength,https://www.muscleandstrength.com/workouts/build-muscle-bodyweight-workout-routine-circuit
workouts__dice-cards-bodyweight-conditioning-workout__1208ae867f.html,Dice And Cards Bodyweight And Conditioning Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/dice-cards-bodyweight-conditioning-workout
