# equipment,fully equipped gym,# fitness_goal,fat loss,# workout_type,split,# gender,both,# training_level,intermediate,# days_per_week,3
filename,title,url
workouts__8-week-summer-shred__0306069a03.html,Shredded by Summer: 8 Weeks to Your Best Body Ever,https://www.muscleandstrength.com/workouts/8-week-summer-shred
workouts__cardio-conditioning-workouts-fat-burning__d4368bf6f1.html,"Cardio Conditioning Workouts: More Fat Burning, Same Gym Time | Muscle & Strength",https://www.muscleandstrength.com/workouts/cardio-conditioning-workouts-fat-burning
workouts__get-ripped-3-day-split__18abb74ad1.html,Get RIPPED: 3 Day Workout Split Plus Cardio Routine,https://www.muscleandstrength.com/workouts/get-ripped-3-day-split
