# equipment,fully equipped gym,# fitness_goal,fat loss,# workout_type,split,# gender,both,# training_level,beginner,# days_per_week,3
filename,title,url
workouts__5-fat-loss-workouts-cory-gregory-musclepharm__33b09d1feb.html,5 Fat Loss Workouts From Cory Gregory & MusclePharm | Muscle & Strength,https://www.muscleandstrength.com/workouts/5-fat-loss-workouts-cory-gregory-musclepharm
workouts__myers-glute-workout__74637a0ed3.html,Build the Best Glutes in Your Gym with These 3 Workouts,https://www.muscleandstrength.com/workouts/myers-glute-workout
workouts__spring-fat-melter__834dbbf28b.html,Spring Fat Melter: 6 Week Fat Loss Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/spring-fat-melter
