# equipment,home / small gym,# fitness_goal,muscle building,# workout_type,split,# gender,both,# training_level,beginner,# days_per_week,4
filename,title,url
workouts__2014-minutes-better-body-fast-start-plan__597516fa6c.html,2014 Minutes To A Better Body: 8 Week Fast Start Plan | Muscle & Strength,https://www.muscleandstrength.com/workouts/2014-minutes-better-body-fast-start-plan
workouts__anti-hero-training-plan-big-brutal-muscle__6d14b9ee46.html,"The Anti-Hero Training Plan: Build Big, Brutal Muscle & Strength | Muscle & Strength",https://www.muscleandstrength.com/workouts/anti-hero-training-plan-big-brutal-muscle
workouts__at-home-glute-building-program__dee9f5961c.html,4-Day At-Home Glute Building Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/at-home-glute-building-program
workouts__dumbbell-only-upper-lower-workout-routine__534edde18b.html,4 Day Dumbbell Only Upper/Lower Workout Routine,https://www.muscleandstrength.com/workouts/dumbbell-only-upper-lower-workout-routine
workouts__field-manual-training-guide-limited-equipment__5c8518e064.html,Field Manual: A Training Guide For Those With Little Time & Equipment | Muscle & Strength,https://www.muscleandstrength.com/workouts/field-manual-training-guide-limited-equipment
workouts__home-gym-barbell-workout-routine__e4f9e5d1f5.html,Home Or Gym Barbell Workout Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/home-gym-barbell-workout-routine
workouts__new-year-body-workout-guide-eating-plan__d115f30ee2.html,"New Year, New Body: Quick Start Workout Guide & Eating Plan | Muscle & Strength",https://www.muscleandstrength.com/workouts/new-year-body-workout-guide-eating-plan
workouts__upper-lower-kettlebell-workout__235698a304.html,Upper/Lower (At Home) Kettlebell Workout,https://www.muscleandstrength.com/workouts/upper-lower-kettlebell-workout
