# equipment,home / small gym,# fitness_goal,muscle building,# workout_type,full body,# gender,women,# training_level,beginner,# days_per_week,3
filename,title,url
workouts__3-day-dumbbell-only-workout-for-women__a3425ea293.html,3 Day Full Body Women's Dumbbell Only Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-dumbbell-only-workout-for-women
workouts__womens-3-day-glute-workout__b558fa493f.html,Women's 3-Day Glute Building Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/womens-3-day-glute-workout
