# equipment,home / small gym,# fitness_goal,muscle building,# workout_type,split,# gender,both,# training_level,intermediate,# days_per_week,4
filename,title,url
workouts__4-day-barbell-only-workout__551e290046.html,4 Day Barbell Only Workout (No Rack Required) | Muscle & Strength,https://www.muscleandstrength.com/workouts/4-day-barbell-only-workout
workouts__brutality-squat-deadlift-workout__e406b65ef3.html,Brutality: A Squat & Deadlift Centered Muscle Building Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/brutality-squat-deadlift-workout
workouts__drop-5-home-workout-4-day-plan__364b99c9e6.html,Drop 5 System: 4 Day Home Muscle Building Plan | Muscle & Strength,https://www.muscleandstrength.com/workouts/drop-5-home-workout-4-day-plan
workouts__summer-strength-4-day-strength-split__15d4506a96.html,Summer Strength: 4 Day Strength Building Workout Split,https://www.muscleandstrength.com/workouts/summer-strength-4-day-strength-split
