# equipment,fully equipped gym,# fitness_goal,fat loss,# workout_type,split,# gender,women,# training_level,beginner,# days_per_week,5
filename,title,url
workouts__muscle-and-strength-womens-workout__d90ef26422.html,Muscle & Strength’s Women's Trainer: 12 Week Women’s Workout Program,https://www.muscleandstrength.com/workouts/muscle-and-strength-womens-workout
workouts__summer-shape-up-womens-gym-workout__fbe9efdb27.html,Summer Shape Up: Women's 6 Week Fat-Burning Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/summer-shape-up-womens-gym-workout
