# equipment,home / small gym,# fitness_goal,fat loss,# workout_type,split,# gender,both,# training_level,beginner,# days_per_week,4
filename,title,url
workouts__15-min-burner__6238f40298.html,The 15 Min Burner: 4 Day Fat Loss Workout Program,https://www.muscleandstrength.com/workouts/15-min-burner
workouts__density-training-fat-loss-cardio__de207f70e8.html,Density Training For Fat Loss: No Cardio Required | Muscle & Strength,https://www.muscleandstrength.com/workouts/density-training-fat-loss-cardio
workouts__intense-super-shred-40-minute-fat-blast__0aba7dae89.html,Intense Super Shred: 40 Minute Fat Blast Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/intense-super-shred-40-minute-fat-blast
