# equipment,fully equipped gym,# fitness_goal,muscle building,# workout_type,full body,# gender,both,# training_level,intermediate,# days_per_week,3
filename,title,url
workouts__3-day-whole-body-toning-workout.html__bd2847b58b.html,3 Day Full Body Toning Workout for Women | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-whole-body-toning-workout.html
workouts__full-body-shock-workout__c7e7be8fc8.html,Full Body Shock: An Intense Full Body Workout,https://www.muscleandstrength.com/workouts/full-body-shock-workout
workouts__mft-training__3d1b4dc3f7.html,MFT Training: Boost Strength and Build Muscle Faster,https://www.muscleandstrength.com/workouts/mft-training
workouts__total-package-workout__3bc37ed96a.html,The Total Package: A Full Body Strength & Hypertrophy Workout,https://www.muscleandstrength.com/workouts/total-package-workout
