# equipment,fully equipped gym,# fitness_goal,muscle building,# workout_type,split,# gender,men,# training_level,advanced,# days_per_week,5
filename,title,url
workouts__8-week-plateau-busting-pyramid-workout__8fb0783865.html,8 Week Plateau Busting Pyramid Workout Program,https://www.muscleandstrength.com/workouts/8-week-plateau-busting-pyramid-workout
workouts__amrap-bodybuilding-workout-for-mass__a59f3e5825.html,The AMRAP Bodybuilding Workout for Muscle Mass,https://www.muscleandstrength.com/workouts/amrap-bodybuilding-workout-for-mass
workouts__branch-warren-olympia-workout-diet-plan__6a229ab326.html,Branch Warren's Pre Olympia Workout & Sample Diet Plan | Muscle & Strength,https://www.muscleandstrength.com/workouts/branch-warren-olympia-workout-diet-plan
workouts__steve-kuclo-mass-building-workout__96a65646a0.html,Steve Kuclo Mass Building Inspired Workout Split,https://www.muscleandstrength.com/workouts/steve-kuclo-mass-building-workout
