# equipment,fully equipped gym,# fitness_goal,fat loss,# workout_type,split,# gender,men,# training_level,intermediate,# days_per_week,5
filename,title,url
workouts__24-doug---s-5-day-high-definition-routine.html__6bd7af2bb2.html,Doug's 5 Day High Definition Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/24-doug---s-5-day-high-definition-routine.html
workouts__spring-cleaning-12-weeks-to-shredded__029b30cf7b.html,Spring cLEANing: 12 Weeks to Shredded!,https://www.muscleandstrength.com/workouts/spring-cleaning-12-weeks-to-shredded
