# equipment,home / small gym,# fitness_goal,fat loss,# workout_type,full body,# gender,both,# training_level,beginner,# days_per_week,2
filename,title,url
workouts__kettlebell-dumbbell-hiit-workout__a6c6762b2c.html,"No Kettlebell, No Problem - Dumbbell HIIT Workout | Muscle & Strength",https://www.muscleandstrength.com/workouts/kettlebell-dumbbell-hiit-workout
workouts__stephanies-circuit-style-fat-burning-workout.html__4e5ef6c540.html,Stephanie's Circuit Style Fat Burning Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/stephanies-circuit-style-fat-burning-workout.html
