# equipment,fully equipped gym,# fitness_goal,muscle building,# workout_type,single muscle group,# gender,men,# training_level,intermediate,# days_per_week,1
filename,title,url
workouts__20-rep-quad-hamstring-shock-workout__3dfac94b6e.html,20 Rep Quad & Hamstring Shock Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/20-rep-quad-hamstring-shock-workout
workouts__3-giant-sets-for-giant-arms__29a1d19b7c.html,3 Giant Sets to Build Giant Arms | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-giant-sets-for-giant-arms
workouts__8-week-pec-pounder__9adabdc635.html,Pec-Pounder: 8 Week Chest Workout to Shatter Your Plateau | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-pec-pounder
workouts__best-chest-workout-for-inner-chest-development__00f242c53a.html,The Best Chest Workout for Inner Chest Development,https://www.muscleandstrength.com/workouts/best-chest-workout-for-inner-chest-development
workouts__the-pec-pumper-chest-workout__da32879816.html,The Pec Pumper: Workout to Blow Up Your Chest,https://www.muscleandstrength.com/workouts/the-pec-pumper-chest-workout
workouts__triple-header-tricep-workout__accc9dcf55.html,12 Week Triple Header Triceps Workout Program,https://www.muscleandstrength.com/workouts/triple-header-tricep-workout
