# equipment,home / small gym,# fitness_goal,fat loss,# workout_type,full body,# gender,both,# training_level,beginner,# days_per_week,5
filename,title,url
workouts__5-crossfit-wods-general-conditioning__990e4a5ec7.html,5 Cross Training Workouts For General Conditioning | Muscle & Strength,https://www.muscleandstrength.com/workouts/5-crossfit-wods-general-conditioning
workouts__5-week-full-body-kettlebell-workout__2b33b33491.html,5 Week Full Body Kettlebell Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/5-week-full-body-kettlebell-workout
